Epoch:0  Iteration:0  Cross Validation Error:2.301877
Iteration:0  Error:2.307516
Iteration:1  Error:2.240937
Iteration:2  Error:2.205491
Iteration:3  Error:2.067073
Iteration:4  Error:1.946247
Iteration:5  Error:1.684704
Iteration:6  Error:1.607217
Iteration:7  Error:1.996660
Iteration:8  Error:1.863433
Iteration:9  Error:1.737494
Iteration:10  Error:1.472531
Iteration:11  Error:1.536178
Iteration:12  Error:1.449235
Iteration:13  Error:1.280474
Iteration:14  Error:1.072464
Iteration:15  Error:0.802569
Iteration:16  Error:0.820125
Iteration:17  Error:0.828510
Iteration:18  Error:0.989026
Iteration:19  Error:1.257635
Iteration:20  Error:0.813747
Iteration:21  Error:1.221209
Iteration:22  Error:0.952913
Iteration:23  Error:1.081470
Iteration:24  Error:0.898553
Iteration:25  Error:1.178256
Iteration:26  Error:1.186167
Iteration:27  Error:1.116614
Iteration:28  Error:0.774278
Iteration:29  Error:1.010255
Iteration:30  Error:0.580665
Iteration:31  Error:0.879911
Iteration:32  Error:0.607115
Iteration:33  Error:0.659839
Iteration:34  Error:0.650532
Iteration:35  Error:0.691282
Iteration:36  Error:0.550106
Iteration:37  Error:0.517210
Iteration:38  Error:0.592319
Iteration:39  Error:0.498744
Iteration:40  Error:0.520391
Iteration:41  Error:0.723453
Iteration:42  Error:0.919472
Iteration:43  Error:1.132887
Iteration:44  Error:1.549332
Iteration:45  Error:1.416863
Iteration:46  Error:0.907511
Iteration:47  Error:0.739117
Iteration:48  Error:0.659383
Iteration:49  Error:0.938920
Iteration:50  Error:0.751129
Iteration:51  Error:0.571516
Iteration:52  Error:0.388995
Iteration:53  Error:0.592763
Iteration:54  Error:0.363625
Iteration:55  Error:0.526427
Iteration:56  Error:0.465544
Iteration:57  Error:0.344997
Iteration:58  Error:0.448571
Iteration:59  Error:0.589580
Iteration:60  Error:0.460484
Iteration:61  Error:0.613635
Iteration:62  Error:0.654957
Iteration:63  Error:0.584092
Iteration:64  Error:0.434516
Iteration:65  Error:0.307374
Iteration:66  Error:0.468633
Iteration:67  Error:0.732658
Iteration:68  Error:0.490338
Iteration:69  Error:0.356411
Iteration:70  Error:0.492389
Iteration:71  Error:0.452830
Iteration:72  Error:0.391665
Iteration:73  Error:0.212349
Iteration:74  Error:0.535078
Iteration:75  Error:0.942829
Iteration:76  Error:0.750774
Iteration:77  Error:0.472034
Iteration:78  Error:0.457945
Iteration:79  Error:0.562463
Iteration:80  Error:0.312841
Iteration:81  Error:0.331071
Iteration:82  Error:0.542630
Iteration:83  Error:0.381058
Iteration:84  Error:0.504680
Iteration:85  Error:0.561629
Iteration:86  Error:0.610025
Iteration:87  Error:0.328874
Iteration:88  Error:0.184787
Iteration:89  Error:0.471136
Iteration:90  Error:0.383509
Iteration:91  Error:0.475136
Iteration:92  Error:0.246587
Iteration:93  Error:0.360076
Iteration:94  Error:0.512739
Iteration:95  Error:0.337254
Iteration:96  Error:0.354473
Iteration:97  Error:0.579758
Iteration:98  Error:0.291361
Iteration:99  Error:0.394879
Iteration:100  Error:0.378166
Iteration:101  Error:0.236356
Iteration:102  Error:0.252941
Iteration:103  Error:0.412891
Iteration:104  Error:0.466119
Iteration:105  Error:0.772910
Iteration:106  Error:0.536137
Iteration:107  Error:0.270281
Iteration:108  Error:0.476647
Iteration:109  Error:0.282246
Iteration:110  Error:0.311906
Iteration:111  Error:0.396710
Iteration:112  Error:0.432858
Iteration:113  Error:0.116135
Iteration:114  Error:0.313722
Iteration:115  Error:0.361484
Iteration:116  Error:0.356370
Iteration:117  Error:0.305663
Iteration:118  Error:0.360081
Iteration:119  Error:0.491362
Iteration:120  Error:0.689748
Iteration:121  Error:0.344658
Iteration:122  Error:0.418071
Iteration:123  Error:0.253080
Iteration:124  Error:0.435324
Iteration:125  Error:0.321449
Iteration:126  Error:0.292141
Iteration:127  Error:0.462076
Iteration:128  Error:0.392252
Iteration:129  Error:0.377700
Iteration:130  Error:0.203076
Iteration:131  Error:0.261697
Iteration:132  Error:0.347335
Iteration:133  Error:0.255402
Iteration:134  Error:0.215192
Iteration:135  Error:0.303762
Iteration:136  Error:0.303280
Iteration:137  Error:0.388423
Iteration:138  Error:0.265850
Iteration:139  Error:0.212119
Iteration:140  Error:0.466971
Iteration:141  Error:0.192681
Iteration:142  Error:0.308603
Iteration:143  Error:0.260862
Iteration:144  Error:0.315191
